STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TAVG,TMAX,TMIN
GHCND:USW00023293,15.5,37.3591,-121.924,20160101,0.00,-9999,-9999,51,33
GHCND:USW00023293,15.5,37.3591,-121.924,20160102,0.00,-9999,-9999,54,41
GHCND:USW00023293,15.5,37.3591,-121.924,20160103,0.00,-9999,-9999,55,43
GHCND:USW00023293,15.5,37.3591,-121.924,20160104,0.01,-9999,-9999,62,48
GHCND:USW00023293,15.5,37.3591,-121.924,20160105,0.97,-9999,-9999,56,49
GHCND:USW00023293,15.5,37.3591,-121.924,20160106,0.62,-9999,-9999,54,48
GHCND:USW00023293,15.5,37.3591,-121.924,20160107,0.03,-9999,-9999,56,43
GHCND:USW00023293,15.5,37.3591,-121.924,20160108,0.00,-9999,-9999,56,38
GHCND:USW00023293,15.5,37.3591,-121.924,20160109,0.01,-9999,-9999,56,50
GHCND:USW00023293,15.5,37.3591,-121.924,20160110,0.01,-9999,-9999,57,47
GHCND:USW00023293,15.5,37.3591,-121.924,20160111,0.00,-9999,-9999,63,48
GHCND:USW00023293,15.5,37.3591,-121.924,20160112,0.00,-9999,-9999,66,44
GHCND:USW00023293,15.5,37.3591,-121.924,20160113,0.08,-9999,-9999,62,46
GHCND:USW00023293,15.5,37.3591,-121.924,20160114,0.01,-9999,-9999,58,42
GHCND:USW00023293,15.5,37.3591,-121.924,20160115,0.16,-9999,-9999,65,51
GHCND:USW00023293,15.5,37.3591,-121.924,20160116,0.12,-9999,-9999,62,53
GHCND:USW00023293,15.5,37.3591,-121.924,20160117,0.39,-9999,-9999,61,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160118,0.58,-9999,-9999,66,52
GHCND:USW00023293,15.5,37.3591,-121.924,20160119,0.44,-9999,-9999,67,52
GHCND:USW00023293,15.5,37.3591,-121.924,20160120,0.00,-9999,-9999,67,48
GHCND:USW00023293,15.5,37.3591,-121.924,20160121,0.00,-9999,-9999,68,49
GHCND:USW00023293,15.5,37.3591,-121.924,20160122,0.42,-9999,-9999,63,56
GHCND:USW00023293,15.5,37.3591,-121.924,20160123,0.06,-9999,-9999,60,48
GHCND:USW00023293,15.5,37.3591,-121.924,20160124,0.00,-9999,-9999,59,45
GHCND:USW00023293,15.5,37.3591,-121.924,20160125,0.00,-9999,-9999,62,44
GHCND:USW00023293,15.5,37.3591,-121.924,20160126,0.00,-9999,-9999,63,47
GHCND:USW00023293,15.5,37.3591,-121.924,20160127,0.00,-9999,-9999,66,46
GHCND:USW00023293,15.5,37.3591,-121.924,20160128,0.00,-9999,-9999,63,42
GHCND:USW00023293,15.5,37.3591,-121.924,20160129,0.05,-9999,-9999,68,55
GHCND:USW00023293,15.5,37.3591,-121.924,20160130,0.03,-9999,-9999,59,51
GHCND:USW00023293,15.5,37.3591,-121.924,20160131,0.10,-9999,-9999,55,46
GHCND:USW00023293,15.5,37.3591,-121.924,20160201,0.00,-9999,-9999,56,39
GHCND:USW00023293,15.5,37.3591,-121.924,20160202,0.05,-9999,-9999,58,38
GHCND:USW00023293,15.5,37.3591,-121.924,20160203,0.00,-9999,-9999,60,38
GHCND:USW00023293,15.5,37.3591,-121.924,20160204,0.00,-9999,-9999,62,45
GHCND:USW00023293,15.5,37.3591,-121.924,20160205,0.00,-9999,-9999,65,40
